Course ID,Course Name,Average Rating,Average Sentiment Score,Average Score,Platform,Institution,Course URL,Number of Ratings,Number of Reviews
1000010,Learn Twitter Sentiment Analysis ,4.581632653061225,3.984081632653061,8.565714285714286,Udemy ,Not Available,Not Available,49,49
1000234,Ruby on Rails 4---A Test-Driven Approach,4.275,4.058,8.333,Udemy ,Not Available,Not Available,20,20
1000448,Learn JavaScript for Web Development,4.285714285714286,3.705714285714286,7.991428571428571,Udemy ,Not Available,Not Available,7,7
1000550,Unity Networking From Scratch for (Unity 5 to Unity 2018.2),4.4523809523809526,4.055238095238095,8.507619047619048,Udemy ,Not Available,Not Available,84,84
1000574,The Complete Developers Guide to MongoDB,4.390547263681592,4.049154228855722,8.439701492537313,Udemy ,Not Available,Not Available,402,402
100114,Docker and Kubernetes: The Complete Guide,2.833333333333333,3.773333333333333,6.6066666666666665,Udemy ,Not Available,Not Available,3,3
1001496,Git & GitHub Bootcamp & Integration with most popular IDEs,4.1838235294117645,3.9867647058823534,8.170588235294119,Udemy ,Not Available,Not Available,68,68
1001738,Hands-On Test Driven Development with Python,3.1666666666666665,3.8966666666666665,7.063333333333333,Udemy ,Not Available,Not Available,6,6
1001752,Introduction to using Git,4.0,4.3,8.3,Udemy ,Not Available,Not Available,1,1
1001872,Agile & Multi-Platform Game Dev. with Unity - Tier 1,4.388888888888889,3.808888888888889,8.197777777777778,Udemy ,Not Available,Not Available,9,9
1001904,WordPress Academy: Learn WordPress step by step,5.0,4.76,9.76,Udemy ,Not Available,Not Available,1,1
1001910,Complete Python Programming Masterclass Beginner to Advanced,5.0,4.96,9.96,Udemy ,Not Available,Not Available,1,1
1001946,The Complete Java Developer Course,4.432160804020101,4.028844221105528,8.461005025125628,Udemy ,Not Available,Not Available,199,199
1002114,The Complete 2019 Fullstack Web Developer Course,5.0,4.68,9.68,Udemy ,Not Available,Not Available,1,1
1002196,JavaScript Basics for Beginners,2.75,4.63,7.379999999999999,Udemy ,Not Available,Not Available,2,2
1002210,User Stories for Agile Scrum+Product Owner+Business Analysis,4.428571428571429,4.188571428571429,8.617142857142857,Udemy ,Not Available,Not Available,7,7
1002212,An Introduction to C# for the Rest of Us,4.5,3.98,8.48,Udemy ,Not Available,Not Available,1,1
1002676,The Full Stack Web Development,4.3630573248407645,3.95375796178344,8.316815286624204,Udemy ,Not Available,Not Available,157,157
1002696,CS121 Learn JavaScript Programming,4.1,4.428,8.528,Udemy ,Not Available,Not Available,5,5
1002742,The Complete React Native + Hooks Course [2019 Edition],4.833333333333333,3.76,8.593333333333334,Udemy ,Not Available,Not Available,3,3
1002952,C# Advanced Topics - The Next Logical Step,3.9375,4.0,7.9375,Udemy ,Not Available,Not Available,8,8
1003572,Unity Game Development Build 2D & 3D Games,4.5,3.54,8.04,Udemy ,Not Available,Not Available,1,1
1003704,Become an IntelliJ IDEA guru,4.5,3.808888888888889,8.30888888888889,Udemy ,Not Available,Not Available,9,9
1003878,Learn C# With Windows Forms and  SQL Server,4.38125,4.10325,8.4845,Udemy ,Not Available,Not Available,80,80
1004008,Spring & Hibernate for Beginners (includes Spring Boot),4.5,3.961176470588236,8.461176470588235,Udemy ,Not Available,Not Available,51,51
1004034,Learn to Code with Ruby,4.441326530612245,4.009591836734693,8.45091836734694,Udemy ,Not Available,Not Available,196,196
1004118,Beginning C++ Programming - From Beginner to Beyond,4.666666666666667,4.293333333333334,8.96,Udemy ,Not Available,Not Available,12,12
1004134,Angular 2 + Rails 5 Bootcamp,4.582191780821918,4.08,8.662191780821919,Udemy ,Not Available,Not Available,73,73
1004254,Django 2.2 & Python | The Ultimate Web Development Bootcamp,4.0,3.873333333333333,7.873333333333332,Udemy ,Not Available,Not Available,3,3
