course_id,name,rating,reviews,Platform,actual_sentiment,preprocessed,flattened_reviews,sentiment
r-programming,R Programming,5.0,The course serves well for beginners purpose. However I would really appreciate a little more advance level to be introduced as soon as possible to leverage the momentum generated and also to cater to practical needs. Greater foFocus on real life examples and exercises will also help. ,Coursera,1,"['course', 'serf', 'well', 'beginner', 'purpose', 'however', 'would', 'really', 'appreciate', 'little', 'advance', 'level', 'introduced', 'soon', 'possible', 'leverage', 'momentum', 'generated', 'also', 'cater', 'practical', 'need', 'greater', 'fofocus', 'real', 'life', 'example', 'exercise', 'also', 'help']",course serf well beginner purpose however would really appreciate little advance level introduced soon possible leverage momentum generated also cater practical need greater fofocus real life example exercise also help,Positive
uva-darden-market-analytics,Marketing Analytics,5.0,I especially enjoyed learning about the treatment of cancer (week 6) and the statistics related to cancer occurrence and death.,Coursera,1,"['especially', 'enjoyed', 'learning', 'treatment', 'cancer', 'week', 'statistic', 'related', 'cancer', 'occurrence', 'death']",especially enjoyed learning treatment cancer week statistic related cancer occurrence death,Positive
1974404,The Complete Sass & SCSS Course: From Beginner to Advanced,4.0,Thanks for creating this course Andrew! topics are covered greatly and explainations are to the point.,Udemy,1,"['thanks', 'creating', 'course', 'andrew', 'topic', 'covered', 'greatly', 'explainations', 'point']",thanks creating course andrew topic covered greatly explainations point,Positive
grammar-punctuation,Grammar and Punctuation,5.0,"The professor was so great! Personable, funny, knowledgeable. He had great examples and insight, and made it easy to learn not so easy stuff. Hope he comes out with more courses! He broke down marketing analytics better to me than my. masters program did! Loved how he used recent companies and services we can relate to.",Coursera,1,"['professor', 'great', 'personable', 'funny', 'knowledgeable', 'great', 'example', 'insight', 'made', 'easy', 'learn', 'easy', 'stuff', 'hope', 'come', 'course', 'broke', 'marketing', 'analytics', 'better', 'master', 'program', 'loved', 'used', 'recent', 'company', 'service', 'relate']",professor great personable funny knowledgeable great example insight made easy learn easy stuff hope come course broke marketing analytics better master program loved used recent company service relate,Positive
1050632,Rock the JVM! Scala and Functional Programming for Beginners,5.0,"The lectures very well designed. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",Udemy,1,"['lecture', 'well', 'designed']",lecture well designed,Positive
687466,Advance Android Programming - learning beyond basics,5.0,"Solid overview of content. Examples are mostly trivial, but that's the scope that the course claims to cover anyway. Spends a bit too much time walking through solving problems with ES5 techniques in my opinion, that code could've been pre-written at the start of the video, as going through step by step distracts from the ES6 features.",Udemy,1,"['solid', 'overview', 'content', 'example', 'mostly', 'trivial', 'scope', 'course', 'claim', 'cover', 'anyway', 'spends', 'bit', 'much', 'time', 'walking', 'solving', 'problem', 'e', 'technique', 'opinion', 'code', 'could', 'pre', 'written', 'start', 'video', 'going', 'step', 'step', 'distracts', 'e', 'feature']",solid overview content example mostly trivial scope course claim cover anyway spends bit much time walking solving problem e technique opinion code could pre written start video going step step distracts e feature,Positive
1463348,Essentials in JavaScript ES6 - A Fun and Clear Introduction,5.0,Brilliant course!!,Udemy,1,"['brilliant', 'course']",brilliant course,Positive
machine-learning-projects,Structuring Machine Learning Projects,5.0,It got everything you need to understand when you're in early stage of your Prc or PjM roles ,Coursera,1,"['got', 'everything', 'need', 'understand', 'early', 'stage', 'prc', 'pjm', 'role']",got everything need understand early stage prc pjm role,Positive
manage-health-covid-19,Mind Control: Managing Your Mental Health During COVID-19,5.0,"Very good course. All of the fundamentals are explained thoroughly  and with examples. Being a practical course makes it also much better than others I watched. This course makes us think activelly about design and create pieces, exploring our creativity. I loved it!",Coursera,1,"['good', 'course', 'fundamental', 'explained', 'thoroughly', 'example', 'practical', 'course', 'make', 'also', 'much', 'better', 'others', 'watched', 'course', 'make', 'u', 'think', 'activelly', 'design', 'create', 'piece', 'exploring', 'creativity', 'loved']",good course fundamental explained thoroughly example practical course make also much better others watched course make u think activelly design create piece exploring creativity loved,Positive
visual-elements-user-interface-design,Visual Elements of User Interface Design,5.0,Great information in an easily understandable format! Highly recommended,Coursera,1,"['great', 'information', 'easily', 'understandable', 'format', 'highly', 'recommended']",great information easily understandable format highly recommended,Positive
